From,to,quantity,time,location,Flownumberfrom,Flownumberto
SheetAndPlate,InternalRemelting,3.0747,2009,Global,9,5
SheetAndPlate,InternalRefining,0.0,2009,Global,9,6
SheetAndPlate,Remelting,0.0,2009,Global,9,7
SheetAndPlate,RecycleRefining,0.0,2009,Global,9,8
Foil,InternalRemelting,2.3872,2009,Global,10,5
Foil,InternalRefining,0.0,2009,Global,10,6
Foil,Remelting,0.0,2009,Global,10,7
Foil,RecycleRefining,0.0,2009,Global,10,8
CanSheet,InternalRemelting,1.624,2009,Global,11,5
CanSheet,InternalRefining,0.0,2009,Global,11,6
CanSheet,Remelting,0.0,2009,Global,11,7
CanSheet,RecycleRefining,0.0,2009,Global,11,8
Extrusion,InternalRemelting,0.0,2009,Global,12,5
Extrusion,InternalRefining,0.0,2009,Global,12,6
Extrusion,Remelting,2.28879,2009,Global,12,7
Extrusion,RecycleRefining,1.94971,2009,Global,12,8
WireAndCable,InternalRemelting,0.0,2009,Global,13,5
WireAndCable,InternalRefining,0.0,2009,Global,13,6
WireAndCable,Remelting,0.0,2009,Global,13,7
WireAndCable,RecycleRefining,1.421,2009,Global,13,8
ShapeCasting,InternalRemelting,0.0,2009,Global,14,5
ShapeCasting,InternalRefining,11.235175,2009,Global,14,6
ShapeCasting,Remelting,0.0,2009,Global,14,7
ShapeCasting,RecycleRefining,0.591325,2009,Global,14,8
DioxidationAl,InternalRemelting,0.0,2009,Global,15,5
DioxidationAl,InternalRefining,0.0,2009,Global,15,6
DioxidationAl,Remelting,0.0,2009,Global,15,7
DioxidationAl,RecycleRefining,0.0,2009,Global,15,8
PowderAndPaste,InternalRemelting,0.0,2009,Global,16,5
PowderAndPaste,InternalRefining,0.0,2009,Global,16,6
PowderAndPaste,Remelting,0.0,2009,Global,16,7
PowderAndPaste,RecycleRefining,0.0,2009,Global,16,8
Others,InternalRemelting,0.0,2009,Global,17,5
Others,InternalRefining,0.0,2009,Global,17,6
Others,Remelting,0.18522,2009,Global,17,7
Others,RecycleRefining,0.15778,2009,Global,17,8
Manuf_BC,Use_BC,10.89,2009,Global,32,19
Manuf_TAU,Use_TAU,6.468,2009,Global,33,20
Manuf_TAE,Use_TAE,0.18,2009,Global,34,21
Manuf_TOT,Use_TOT,2.24,2009,Global,35,22
Manuf_PCA,Use_PCA,3.15,2009,Global,36,23
Manuf_POT,Use_POT,2.325,2009,Global,37,24
Manuf_ME,Use_ME,2.775,2009,Global,38,25
Manuf_ECA,Use_ECA,3.42,2009,Global,39,26
Manuf_EOT,Use_EOT,1.92,2009,Global,40,27
Manuf_CD,Use_CD,3.04,2009,Global,41,28
Manuf_OTN,Use_OTN,1.28,2009,Global,42,29
Manuf_OTD,Use_OTD,0.64,2009,Global,43,30

Manuf_BC,InternalRemelting,0.0,2009,Global,32,5
Manuf_BC,InternalRefining,0.0,2009,Global,32,6
Manuf_BC,Remelting,0.723338,2009,Global,32,7
Manuf_BC,RecycleRefining,0.462462,2009,Global,32,8
Manuf_TAU,InternalRemelting,0.0,2009,Global,33,5
Manuf_TAU,InternalRefining,0.0,2009,Global,33,6
Manuf_TAU,Remelting,0.7123424,2009,Global,33,7
