From_top,To_top,Processnumbersfromtop,Processnumberstotop,From_bottom,To_bottom,Processnumbersfrombottom,Processnumberstobottom,ratio

###table S5

SheetAndPlate,InternalRemelting,9,5,SheetAndPlate,Manu_SheetAndPlate,9,5-32-33-34-35-38-40-41-42,0.277

SheetAndPlate,Manu_SheetAndPlate_notrecycled,9,32-33-34-35-38-40-41-42,SheetAndPlate,Manu_SheetAndPlate,9,5-32-33-34-35-38-40-41-42,0.723

Foil,InternalRemelting,10,5,Foil,Manu_Foil,10,5-33-35-37-41,0.373

Foil,Manu_Foil_notrecycled,10,33-35-37-41,Foil,Manu_Foil,10,5-33-35-37-41,0.627

CanSheet,InternalRemelting,11,5,CanSheet,Manu_CanSheet,11,5-36,0.28

CanSheet,Manuf_CanSheet_notrecycled,11,36,CanSheet,Manu_CanSheet,11,5-36,0.72

Extrusion,Remelting,12,7,Extrusion,Manu_Extrusion,12,7-8-32-33-34-35-38-40-41-42,0.1323

Extrusion,RecycleRefining,12,8,Extrusion,Manu_Extrusion,12,7-8-32-33-34-35-38-40-41-42,0.1127

Extrusion,Manu_Extrusion_notrecycled,12,32-33-34-35-38-40-41-42,Extrusion,Manu_Extrusion,12,7-8-32-33-34-35-38-40-41-42,0.755

WireAndCable,RecycleRefining,13,8,WireAndCable,Manu_WireAndCable,13,8-39-40,0.245

WireAndCable,Manu_WireAndCable_notrecycled,13,39-40,WireAndCable,Manu_WireAndCable,13,8-39-40,0.755

ShapeCasting,InternalRefining,14,6,ShapeCasting,Manu_ShapeCasting,14,6-8-32-33-35-38-40-41-42,0.51775

ShapeCasting,RecycleRefining,14,8,ShapeCasting,Manu_ShapeCasting,14,6-8-32-33-35-38-40-41-42,0.02725

ShapeCasting,Manu_ShapeCasting_notrecycled,14,32-33-35-38-40-41-42,ShapeCasting,Manu_ShapeCasting,14,6-8-32-33-35-38-40-41-42,0.455

#skip dioxidationai and powderandpaste since those only flow into one process, which is already taken care of by the data

Others,Remelting,17,7,Others,Manu_Others,17,7-8-32-33-35,0.1323 

Others,RecycleRefining,17,8,Others,Manu_Others,17,7-8-32-33-35,0.1127

