Process,quantity,time,location,massconserved,Processnumber,ParentProcess,Subprocessnumbers
Reserves,-37.2,2009,Global,1,0,0,nan
Mining,0,2009,Global,1,1,0,nan
Refining,0,2009,Global,1,2,0,nan
Smelting,0,2009,Global,1,3,0,nan
Casting,0,2009,Global,1,4,0,nan
InternalRemelting,0,2009,Global,1,5,0,nan
InternalRefining,0,2009,Global,1,6,0,nan
Remelting,0,2009,Global,1,7,0,nan
RecycleRefining,0,2009,Global,1,8,0,nan
SheetAndPlate,0,2009,Global,1,9,0,nan
Foil,0,2009,Global,1,10,0,nan
CanSheet,0,2009,Global,1,11,0,nan
Extrusion,0,2009,Global,1,12,0,nan
WireAndCable,0,2009,Global,1,13,0,nan
ShapeCasting,0,2009,Global,1,14,0,nan
DioxidationAl,0,2009,Global,1,15,0,nan
PowderAndPaste,0,2009,Global,1,16,0,nan
Others,0,2009,Global,1,17,0,nan
Unknown,8.6,2009,Global,1,18,0,nan
Use_BC,nan,2009,Global,1,19,0,nan
Use_TAU,nan,2009,Global,1,20,0,nan
Use_TAE,nan,2009,Global,1,21,0,nan
Use_TOT,nan,2009,Global,1,22,0,nan
Use_PCA,nan,2009,Global,1,23,0,nan
Use_POT,nan,2009,Global,1,24,0,nan
Use_ME,nan,2009,Global,1,25,0,nan
Use_ECA,nan,2009,Global,1,26,0,nan
Use_EOT,nan,2009,Global,1,27,0,nan
Use_CD,nan,2009,Global,1,28,0,nan
Use_OTN,nan,2009,Global,1,29,0,nan
Use_OTD,nan,2009,Global,1,30,0,nan
WasteManagement,0,2009,Global,1,31,0,nan
Manuf_BC,0,2009,Global,1,32,0,nan
Manuf_TAU,0,2009,Global,1,33,0,nan
Manuf_TAE,0,2009,Global,1,34,0,nan
Manuf_TOT,0,2009,Global,1,35,0,nan
Manuf_PCA,0,2009,Global,1,36,0,nan
Manuf_POT,0,2009,Global,1,37,0,nan
Manuf_ME,0,2009,Global,1,38,0,nan
Manuf_ECA,0,2009,Global,1,39,0,nan
Manuf_EOT,0,2009,Global,1,40,0,nan
Manuf_CD,0,2009,Global,1,41,0,nan
Manuf_OTN,0,2009,Global,1,42,0,nan
Manuf_OTD,0,2009,Global,1,43,0,nan
Use,19.16,2009,Global,1,2,1,19-20-21-22-23-24-25-26-27-28-29-30

#OtherRepo,4.4,2009,Global,1,44,0,nan
#Landfillincineration,4.7,2009,Global,1,45,0,nan

OtherRepo,nan,2009,Global,1,44,0,nan
Landfillincineration,nan,2009,Global,1,45,0,nan
