Process,quantity,time,location,massconserved,Processnumber,ParentProcess,Subprocessnumbers
Use_BC,9.59,2009,Global,1,19,0,nan
Use_TAU,3.268,2009,Global,1,20,0,nan
Use_TAE,0.14,2009,Global,1,21,0,nan
Use_TOT,0.84,2009,Global,1,22,0,nan
Use_PCA,-0.25,2009,Global,1,23,0,nan
Use_POT,-0.175,2009,Global,1,24,0,nan
Use_ME,1.875,2009,Global,1,25,0,nan
Use_ECA,2.22,2009,Global,1,26,0,nan
Use_EOT,1.52,2009,Global,1,27,0,nan
Use_CD,1.34,2009,Global,1,28,0,nan
Use_OTN,-0.62,2009,Global,1,29,0,nan
Use_OTD,-0.52,2009,Global,1,30,0,nan

OtherRepo,4.51318,2009,Global,1,44,0,nan
Landfillincineration,4.7517,2009,Global,1,45,0,nan
